[2025-03-28 18:46:52:0491] | Info     | Manager.cpp              -L2915: [LoadCalHfrConfig] Get RANGE_INVALID_HEIGHT Value:[0].
[2025-03-28 18:46:52:0492] | Info     | Manager.cpp              -L2930: [LoadCalHfrConfig] Get MVB3D_SENSOR_LSL_PARAM_RANGE_INVALID_DATA_X_ENABLE Value:[0].
[2025-03-28 18:46:52:0492] | Info     | Manager.cpp              -L2936: [LoadCalHfrConfig] Get MVB3D_SENSOR_LSL_PARAM_RANGE_INVALID_DATA_X_PRC_TIMES Value:[16].
[2025-03-28 18:46:52:0492] | Info     | Manager.cpp              -L2942: [LoadCalHfrConfig] Get MVB3D_SENSOR_LSL_PARAM_RANGE_INVALID_DATA_X_RCO_TIMES Value:[16].
[2025-03-28 18:46:52:0493] | Info     | Manager.cpp              -L2948: [LoadCalHfrConfig] Get MVB3D_SENSOR_LSL_PARAM_RANGE_INVALID_DATA_Y_ENABLE Value:[0].
[2025-03-28 18:46:52:0493] | Info     | Manager.cpp              -L2954: [LoadCalHfrConfig] Get MVB3D_SENSOR_LSL_PARAM_RANGE_INVALID_DATA_Y_PRC_TIMES Value:[16].
[2025-03-28 18:46:52:0493] | Info     | Manager.cpp              -L2960: [LoadCalHfrConfig] Get MVB3D_SENSOR_LSL_PARAM_RANGE_INVALID_DATA_Y_RCO_TIMES Value:[16].
[2025-03-28 18:46:52:0495] | Info     | Manager.cpp              -L2967: [LoadCalHfrConfig] Get ImageMode Value:[7], nRet:[0].
[2025-03-28 18:46:52:0496] | Info     | Manager.cpp              -L2988: [LoadCalHfrConfig] Get LSLProfileCoordXUnit Value:[20.000000], nRet:[0].
[2025-03-28 18:46:52:0496] | Info     | Manager.cpp              -L3000: [LoadCalHfrConfig] Get LSLProfileCoordYUnit Value:[20.000000], nRet:[0].
[2025-03-28 18:46:52:0497] | Info     | Manager.cpp              -L3012: [LoadCalHfrConfig] Get LSLProfileCoordZUnit Value:[20.000000], nRet:[0].
[2025-03-28 18:46:52:0497] | Info     | Manager.cpp              -L3014: [LoadCalHfrConfig] end.
[2025-03-28 18:46:52:0497] | Info     | Manager.cpp              -L3156: [InitAlgorithm] MV_CreateThread m_hThreadAlgorihmHandle Success.
[2025-03-28 18:46:52:0498] | Info     | Manager.cpp              -L3171: [InitAlgorithm] MV_CreateThread m_hThreadAlgorihmHandleSecond Success.
[2025-03-28 18:46:52:0499] | Info     | HfrStereoVm.cpp          -L0056: [CHfrStereoVm::Init] begin.
[2025-03-28 18:46:52:0499] | Info     | HfrStereoVm.cpp          -L0083: [CHfrStereoVm::Init] MVB3D_SENSOR_LSL_GetMemSize success.
[2025-03-28 18:46:52:0499] | Info     | HfrStereoVm.cpp          -L0090: [CHfrStereoVm::Init] m_stHfrMemTab[0].size[171884800] m_stHfrMemTab[1].size[167552].
[2025-03-28 18:46:52:0499] | Info     | HfrStereoVm.cpp          -L0108: [CHfrStereoVm::Init] MVB3D_SENSOR_LSL_Create success.
[2025-03-28 18:46:52:0499] | Info     | HfrStereoVm.cpp          -L0123: [CHfrStereoVm::Init] MVB3D_SENSOR_LSL_SetConfig param success.
[2025-03-28 18:46:52:0501] | Info     | Manager.cpp              -L3650: [AlgorithmCalThreadProc] start id[38396] start.
[2025-03-28 18:46:52:0501] | Info     | Manager.cpp              -L3791: [AlgorithmCalThreadProcSecond] start. id[1320] start.
[2025-03-28 18:46:52:0505] | Info     | HfrStereoVm.cpp          -L0138: [CHfrStereoVm::Init] MVB3D_SENSOR_LSL_SetConfig system param success.
[2025-03-28 18:46:52:0505] | Info     | HfrStereoVm.cpp          -L0187: [CHfrStereoVm::Init] end.
[2025-03-28 18:46:52:0505] | Info     | HfrStereoVm.cpp          -L0056: [CHfrStereoVm::Init] begin.
[2025-03-28 18:46:52:0505] | Info     | HfrStereoVm.cpp          -L0083: [CHfrStereoVm::Init] MVB3D_SENSOR_LSL_GetMemSize success.
[2025-03-28 18:46:52:0505] | Info     | HfrStereoVm.cpp          -L0090: [CHfrStereoVm::Init] m_stHfrMemTab[0].size[171884800] m_stHfrMemTab[1].size[167552].
[2025-03-28 18:46:52:0505] | Info     | HfrStereoVm.cpp          -L0108: [CHfrStereoVm::Init] MVB3D_SENSOR_LSL_Create success.
[2025-03-28 18:46:52:0505] | Info     | HfrStereoVm.cpp          -L0123: [CHfrStereoVm::Init] MVB3D_SENSOR_LSL_SetConfig param success.
[2025-03-28 18:46:52:0505] | Info     | HfrStereoVm.cpp          -L0138: [CHfrStereoVm::Init] MVB3D_SENSOR_LSL_SetConfig system param success.
[2025-03-28 18:46:52:0505] | Info     | HfrStereoVm.cpp          -L0187: [CHfrStereoVm::Init] end.
[2025-03-28 18:46:52:0505] | Info     | HfrStereoVm.cpp          -L0056: [CHfrStereoVm::Init] begin.
[2025-03-28 18:46:52:0505] | Info     | HfrStereoVm.cpp          -L0083: [CHfrStereoVm::Init] MVB3D_SENSOR_LSL_GetMemSize success.
[2025-03-28 18:46:52:0505] | Info     | HfrStereoVm.cpp          -L0090: [CHfrStereoVm::Init] m_stHfrMemTab[0].size[171884800] m_stHfrMemTab[1].size[167552].
[2025-03-28 18:46:52:0505] | Info     | HfrStereoVm.cpp          -L0108: [CHfrStereoVm::Init] MVB3D_SENSOR_LSL_Create success.
[2025-03-28 18:46:52:0505] | Info     | HfrStereoVm.cpp          -L0123: [CHfrStereoVm::Init] MVB3D_SENSOR_LSL_SetConfig param success.
[2025-03-28 18:46:52:0505] | Info     | HfrStereoVm.cpp          -L0138: [CHfrStereoVm::Init] MVB3D_SENSOR_LSL_SetConfig system param success.
[2025-03-28 18:46:52:0505] | Info     | HfrStereoVm.cpp          -L0187: [CHfrStereoVm::Init] end.
[2025-03-28 18:46:52:0505] | Info     | Manager.cpp              -L3244: [InitAlgorithm] m_nNodeCount[3] nRangeImageLen[6764160] nRangeIntensityLen[3382144] nProfileImageLen[46836096] nProfileIntensityLen[7806080].
[2025-03-28 18:46:52:0505] | Info     | Manager.cpp              -L3255: [InitAlgorithm] end success.
[2025-03-28 18:46:52:0505] | Info     | Manager.cpp              -L3263: [HfrMallocOutputBuffer] begin.
[2025-03-28 18:46:52:0505] | Info     | Manager.cpp              -L3312: [HfrMallocOutputBuffer] end.
[2025-03-28 18:46:52:0505] | Info     | Manager.cpp              -L1185: [Start] IsHFRProfileMode.
[2025-03-28 18:46:52:0516] | Error    | CameraModule.cpp         -L0845: camera module MV_CC_StartGrabbing fail, nRet:[0x80000203].
[2025-03-28 18:46:52:0516] | Error    | Manager.cpp              -L1208: [Start] StartGrabbing failed. nRet[0x8006000e].
[2025-03-28 18:46:52:0516] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0831] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0833] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0835] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0837] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0840] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0841] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0843] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0845] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0848] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0850] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0852] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0855] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0857] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0859] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0862] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0864] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0866] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0868] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0870] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0872] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0874] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0876] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0878] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0880] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0882] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0884] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0886] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0888] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0890] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0893] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0894] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0897] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0899] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0901] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0903] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0906] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0908] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0910] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0912] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0914] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0916] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0918] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0920] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0922] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0924] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0926] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0928] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0931] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0933] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0935] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0937] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0939] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0941] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0943] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0945] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0947] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0949] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0951] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0953] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0956] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0957] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0959] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0962] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0964] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0967] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0969] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0971] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0973] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0975] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0978] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0980] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0982] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0984] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0986] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0991] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0992] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
